     Count               Iteration-1          Iteration-143001 
       238  0.000000000000000000e+00  1.284289598750212757e+00 
       239  0.000000000000000000e+00  1.305488619065562350e+00 
       240  0.000000000000000000e+00  1.326966480384137892e+00 
       241  0.000000000000000000e+00  1.348726092276693489e+00 
       242  0.000000000000000000e+00  1.370770397437355737e+00 
       243  0.000000000000000000e+00  1.393102365884134608e+00 
       244  0.000000000000000000e+00  1.415724989281224255e+00 
       245  0.000000000000000000e+00  1.438641363710762011e+00 
       246  0.000000000000000000e+00  1.461854680597622025e+00 
       247  0.000000000000000000e+00  1.485368218005556074e+00 
       248  0.000000000000000000e+00  1.509185332105044353e+00 
       249  0.000000000000000000e+00  1.533309449005463954e+00 
       250  0.000000000000000000e+00  1.557744056751443784e+00 
       251  0.000000000000000000e+00  1.582492716885959716e+00 
       252  0.000000000000000000e+00  1.607559056131399267e+00 
       253  0.000000000000000000e+00  1.632946758439952406e+00 
       254  0.000000000000000000e+00  1.658659557206280777e+00 
       255  0.000000000000000000e+00  1.684701151362348215e+00 
       256  0.000000000000000000e+00  1.711075201405482638e+00 
       257  0.000000000000000000e+00  1.737785325704679362e+00 
       258  0.000000000000000000e+00  1.764835096899100009e+00 
       259  0.000000000000000000e+00  1.792228038567781567e+00 
       260  0.000000000000000000e+00  1.819967621984189377e+00 
       261  0.000000000000000000e+00  1.848057279357034233e+00 
       262  0.000000000000000000e+00  1.876500400226012832e+00 
       263  0.000000000000000000e+00  1.905300353628797794e+00 
       264  0.000000000000000000e+00  1.934460483750776838e+00 
       265  0.000000000000000000e+00  1.963984105864923668e+00 
       266  0.000000000000000000e+00  1.993874502364271439e+00 
       267  0.000000000000000000e+00  2.024134967263287344e+00 
       268  0.000000000000000000e+00  2.054768800519441108e+00 
       269  0.000000000000000000e+00  2.085779302678579139e+00 
       270  0.000000000000000000e+00  2.117169769632285981e+00 
       271  0.000000000000000000e+00  2.148943487692698273e+00 
       272  0.000000000000000000e+00  2.181103728772435524e+00 
       273  0.000000000000000000e+00  2.213653757048780424e+00 
       274  0.000000000000000000e+00  2.246596824069304610e+00 
       275  0.000000000000000000e+00  2.279936283659944163e+00 
       276  0.000000000000000000e+00  2.313675582290037891e+00 
       277  0.000000000000000000e+00  2.347818249864111362e+00 
       278  0.000000000000000000e+00  2.382367890690972878e+00 
       279  0.000000000000000000e+00  2.417328197459652106e+00 
       280  0.000000000000000000e+00  2.452702941823162508e+00 
       281  0.000000000000000000e+00  2.488495965416738454e+00 
       282  0.000000000000000000e+00  2.524711171053718672e+00 
       283  0.000000000000000000e+00  2.561352514347624343e+00 
       284  0.000000000000000000e+00  2.598423995502585182e+00 
       285  0.000000000000000000e+00  2.635929596087828841e+00 
       286  0.000000000000000000e+00  2.673873273795138505e+00 
       287  0.000000000000000000e+00  2.712258950869848029e+00 
       288  0.000000000000000000e+00  2.751090509617742708e+00 
       289  0.000000000000000000e+00  2.790371788248172891e+00 
       290  0.000000000000000000e+00  2.830106576811872721e+00 
       291  0.000000000000000000e+00  2.870298595110523987e+00 
       292  0.000000000000000000e+00  2.910951489837209749e+00 
       293  0.000000000000000000e+00  2.952068832015915856e+00 
       294  0.000000000000000000e+00  2.993654114502910080e+00 
       295  0.000000000000000000e+00  3.035710749778405049e+00 
