Count	Target	Error	Dwell Time	Expected Figure	Sputter Yield              Error in RMS           Target Elements             Unit Elements            Total Elements
351	3.20E+02	-5.74E-01	1.11E+04	3.20E+02	0.00E+00
352	3.22E+02	-1.06E+00	1.22E+04	3.23E+02	0.00E+00
353	3.23E+02	-1.51E+00	1.31E+04	3.25E+02	0.00E+00
354	3.25E+02	-1.86E+00	1.37E+04	3.27E+02	0.00E+00
355	3.27E+02	-2.05E+00	1.40E+04	3.29E+02	0.00E+00
356	3.29E+02	-2.04E+00	1.39E+04	3.31E+02	0.00E+00
357	3.31E+02	-1.82E+00	1.35E+04	3.33E+02	0.00E+00
358	3.33E+02	-1.41E+00	1.27E+04	3.34E+02	0.00E+00
359	3.35E+02	-8.86E-01	1.18E+04	3.36E+02	0.00E+00
360	3.37E+02	-3.15E-01	1.09E+04	3.37E+02	0.00E+00
361	3.39E+02	2.24E-01	9.99E+03	3.39E+02	0.00E+00
362	3.41E+02	6.66E-01	9.32E+03	3.40E+02	0.00E+00
363	3.43E+02	9.74E-01	8.97E+03	3.42E+02	0.00E+00
364	3.45E+02	1.13E+00	8.99E+03	3.44E+02	0.00E+00
365	3.47E+02	1.12E+00	9.42E+03	3.46E+02	0.00E+00
