     Count               Iteration-1              Iteration-10              Iteration-20              Iteration-30              Iteration-40              Iteration-50              Iteration-60              Iteration-70              Iteration-80              Iteration-88 
        53  0.000000000000000000e+00  9.151443026809323555e+02  9.091139923126677331e+02  9.090909977744590833e+02  9.090909038925772165e+02  9.090909164479453466e+02  9.090909160852337436e+02  9.090909062703373138e+02  9.090909008001640359e+02  9.090909017474201619e+02 
        54  0.000000000000000000e+00  9.151443026810262609e+02  9.091139976666150915e+02  9.090909944350164551e+02  9.090909117769850809e+02  9.090909127043080389e+02  9.090909052384387223e+02  9.090909034999057212e+02  9.090909074996402524e+02  9.090909113192974473e+02 
        55  0.000000000000000000e+00  9.151443026810333095e+02  9.091140007896705129e+02  9.090909958802213851e+02  9.090909118376741844e+02  9.090909068808180109e+02  9.090909062263243641e+02  9.090909101422205367e+02  9.090909124108643482e+02  9.090909118343630553e+02 
        56  0.000000000000000000e+00  9.151443026810336505e+02  9.091140023469421294e+02  9.090909974615318561e+02  9.090909091502867341e+02  9.090909074788137332e+02  9.090909103259402855e+02  9.090909112574540814e+02  9.090909096147034916e+02  9.090909080181337458e+02 
        57  0.000000000000000000e+00  9.151443026810336505e+02  9.091140032826112929e+02  9.090909975750028025e+02  9.090909085342784692e+02  9.090909096465419452e+02  9.090909102613055666e+02  9.090909087478974016e+02  9.090909077825439226e+02  9.090909080647852534e+02 
        58  0.000000000000000000e+00  9.151443026810336505e+02  9.091140040100466422e+02  9.090909971517232862e+02  9.090909093013851816e+02  9.090909097590208603e+02  9.090909087418510808e+02  9.090909082513264821e+02  9.090909088993901150e+02  9.090909095640546411e+02 
        59  0.000000000000000000e+00  9.151443026810336505e+02  9.091140045784321728e+02  9.090909969916892805e+02  9.090909096959586577e+02  9.090909090083299589e+02  9.090909086218754283e+02  9.090909091810572136e+02  9.090909095993927167e+02  9.090909094784078661e+02 
        60  0.000000000000000000e+00  9.151443026810336505e+02  9.091140049700886721e+02  9.090909970841732957e+02  9.090909095396381190e+02  9.090909088404569047e+02  9.090909091661900447e+02  9.090909094141795777e+02  9.090909091701155376e+02  9.090909088936896296e+02 
        61  0.000000000000000000e+00  9.151443026810336505e+02  9.091140052094880275e+02  9.090909971840964090e+02  9.090909093671693881e+02  9.090909090738191480e+02  9.090909092722342848e+02  9.090909090786701654e+02  9.090909088960975168e+02  9.090909089423964815e+02 
        62  0.000000000000000000e+00  9.151443026810336505e+02  9.091140053469639497e+02  9.090909972067493072e+02  9.090909093717680207e+02  9.090909091769452743e+02  9.090909090874731646e+02  9.090909089683659658e+02  9.090909090548215090e+02  9.090909091695349389e+02 
        63  0.000000000000000000e+00  9.151443026810336505e+02  9.091140054261242085e+02  9.090909971944929566e+02  9.090909094299986464e+02  9.090909091163714493e+02  9.090909090244748540e+02  9.090909090849809218e+02  9.090909091642963631e+02  9.090909091488642844e+02 
        64  0.000000000000000000e+00  9.151443026810336505e+02  9.091140054732450153e+02  9.090909971893387365e+02  9.090909094457363153e+02  9.090909090679899691e+02  9.090909090821354539e+02  9.090909091361094170e+02  9.090909091081359747e+02  9.090909090607932512e+02 
        65  0.000000000000000000e+00  9.151443026810336505e+02  9.091140055016386441e+02  9.090909971958344613e+02  9.090909094316585879e+02  9.090909090783026159e+02  9.090909091134744813e+02  9.090909090977870619e+02  9.090909090638806447e+02  9.090909090678973143e+02 
        66  0.000000000000000000e+00  9.151443026810336505e+02  9.091140055182329434e+02  9.090909972038713249e+02  9.090909094222407703e+02  9.090909090972398872e+02  9.090909090978643690e+02  9.090909090749244115e+02  9.090909090826414740e+02  9.090909091019780135e+02 
        67  0.000000000000000000e+00  9.151443026810336505e+02  9.091140055273361895e+02  9.090909972082073409e+02  9.090909094238036232e+02  9.090909090981889449e+02  9.090909090840741555e+02  9.090909090864478230e+02  9.090909091005515847e+02  9.090909091001623210e+02 
        68  0.000000000000000000e+00  9.151443026810336505e+02  9.091140055319484645e+02  9.090909972097596210e+02  9.090909094273869187e+02  9.090909090919888058e+02  9.090909090871732587e+02  9.090909090962176151e+02  9.090909090948011908e+02  9.090909090870369482e+02 
        69  0.000000000000000000e+00  9.151443026810336505e+02  9.091140055340958952e+02  9.090909972106095438e+02  9.090909094281481657e+02  9.090909090901004674e+02  9.090909090926170393e+02  9.090909090932681238e+02  9.090909090876230039e+02  9.090909090871676881e+02 
        70  0.000000000000000000e+00  9.151443026810336505e+02  9.091140055350149396e+02  9.090909972115542814e+02  9.090909094273108622e+02  9.090909090916934474e+02  9.090909090925771352e+02  9.090909090893107987e+02  9.090909090891352662e+02  9.090909090921752522e+02 
        71  0.000000000000000000e+00  9.151443026810336505e+02  9.091140055353774869e+02  9.090909972124655951e+02  9.090909094267971113e+02  9.090909090927550551e+02  9.090909090906626489e+02  9.090909090898082923e+02  9.090909090919537903e+02  9.090909090924172915e+02 
