RMS,0.09999921,Time,2018/1/8 13:11,,
count,purpose,ResidualError,TimeDistribution,Working,spot
1418,517.7056825,-0.016782842,4545.711642,517.7224653,0.000162361
1419,517.7917275,-0.016302714,4549.658085,517.8080302,0.000162625
1420,517.8774188,-0.015693862,4553.93256,517.8931127,0.000162889
1421,517.962545,-0.015170965,4558.476692,517.977716,0.00016316
1422,518.0473178,-0.014524275,4563.206216,518.0618421,0.000163433
1423,518.1315258,-0.013966586,4568.33419,518.1454924,0.000163706
1424,518.2153817,-0.013283615,4573.855618,518.2286653,0.00016398
1425,518.2986719,-0.012686139,4579.707909,518.311358,0.000164253
1426,518.3816109,-0.011956193,4585.803226,518.3935671,0.000164526
1427,518.4639854,-0.011304271,4592.08941,518.4752897,0.000164799
1428,518.5460076,-0.010515367,4598.488434,518.556523,0.000165055
1429,518.6274661,-0.009798758,4604.957466,518.6372649,0.000165259
1430,518.7085735,-0.00893973,4611.340483,518.7175132,0.000165463
1431,518.7891171,-0.008154135,4617.348057,518.7972712,0.000165668
1432,518.8693107,-0.007244299,4622.941574,518.876555,0.000165872
1433,518.948941,-0.006437763,4628.115759,518.9553788,0.000166076
1434,519.0282195,-0.005534739,4632.836792,519.0337542,0.00016628
1435,519.1069364,-0.004755061,4637.103965,519.1116915,0.000166485
1436,519.185303,-0.003895274,4640.888008,519.1891983,0.00016672
1437,519.2631076,-0.00317356,4644.192075,519.2662812,0.000166967
1438,519.3405613,-0.002383602,4647.603249,519.3429449,0.000167213
1439,519.417454,-0.00173112,4651.292884,519.4191851,0.00016746
1440,519.4939974,-0.000996752,4655.188282,519.4949942,0.000167706
1441,519.5699792,-0.000385461,4659.252719,519.5703647,0.000167953
1442,519.6456118,0.000322831,4663.423254,519.645289,0.000168188
1443,519.7206843,0.000924548,4667.672476,519.7197598,0.000168411
1444,519.795407,0.00163763,4671.946668,519.7937694,0.000168634
