     Count               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
        56  9.190789321262695211e+00  9.190789321262695211e+00  9.202216357354560117e+00  9.216102701475675119e+00  9.227551236826569081e+00  9.236345628502482086e+00  9.242974636292204949e+00  9.242974698892268748e+00 
        57  1.002109853567081643e+01  1.002109853567081643e+01  1.003323650537476475e+01  1.004815528788693868e+01  1.006045959598364803e+01  1.006990397943514104e+01  1.007700391406870466e+01  1.007700398106416806e+01 
        58  1.092092779415223447e+01  1.092092779415223447e+01  1.093399502326944273e+01  1.095017841264265357e+01  1.096354700237271196e+01  1.097382461642210494e+01  1.098155904421842699e+01  1.098155911720353117e+01 
        59  1.189557109597913787e+01  1.189557109597913787e+01  1.190987871441632429e+01  1.192764152097070784e+01  1.194235357180328272e+01  1.195370732450241036e+01  1.196229239450895143e+01  1.196229247559106845e+01 
        60  1.295053204578602468e+01  1.295053204578602468e+01  1.296645872380392461e+01  1.298617553728407614e+01  1.300255865316400161e+01  1.301526928420301843e+01  1.302495199060527753e+01  1.302495208218894263e+01 
        61  1.409161540812588598e+01  1.409161540812588598e+01  1.410956823625954826e+01  1.413163880352976065e+01  1.415003675288092388e+01  1.416439251787552500e+01  1.417542141119615273e+01  1.417542151569318598e+01 
        62  1.532502517937500564e+01  1.532502517937500564e+01  1.534540107018933952e+01  1.537021693473976036e+01  1.539095936579395030e+01  1.540722832951409238e+01  1.541982722068836509e+01  1.541982734025835811e+01 
        63  1.665729394085176907e+01  1.665729394085176907e+01  1.668045189950228391e+01  1.670837354128722296e+01  1.673175603097028841e+01  1.675016855686637740e+01  1.676452033647824180e+01  1.676452047286952407e+01 
        64  1.809515334584205348e+01  1.809515334584205348e+01  1.812139882107939926e+01  1.815274416539708824e+01  1.817901921778687679e+01  1.819976105173925873e+01  1.821600189628666300e+01  1.821600205078028978e+01 
        65  1.964559302949917097e+01  1.964559302949917097e+01  1.967517179448219622e+01  1.971021348405083984e+01  1.973958985913952091e+01  1.976280317965072797e+01  1.978102451997651912e+01  1.978102469340712588e+01 
        66  2.131624612722075085e+01  2.131624612722075085e+01  2.134934826610291836e+01  2.138831989230734010e+01  2.142097014005627642e+01  2.144676216522778844e+01  2.146701983826422833e+01  2.146702003111168722e+01 
        67  2.311594114194660676e+01  2.311594114194660676e+01  2.315271967541981013e+01  2.319583477199786259e+01  2.323191408319274132e+01  2.326037572676649390e+01  2.328270842134152119e+01  2.328270863391390932e+01 
        68  2.505510515566240670e+01  2.505510515566240670e+01  2.509571070403297099e+01  2.514319557112956360e+01  2.518287258967480824e+01  2.521410742395151061e+01  2.523856443126679494e+01  2.523856466397449339e+01 
        69  2.714591881068127677e+01  2.714591881068127677e+01  2.719054184119836037e+01  2.724267451616663038e+01  2.728616693676606175e+01  2.732032372416179200e+01  2.734699550998015383e+01  2.734699576363685125e+01 
        70  2.940236105596186889e+01  2.940236105596186889e+01  2.945126701932600355e+01  2.950840922203325434e+01  2.955601221674669432e+01  2.959331012426531160e+01  2.962235148441090971e+01  2.962235176046075580e+01 
        71  3.184015732308551705e+01  3.184015732308551705e+01  3.189370313292847214e+01  3.195631496601313870e+01  3.200841335947482946e+01  3.204915178665008568e+01  3.208079013390410950e+01  3.208079043450160128e+01 
        72  3.447649406666660354e+01  3.447649406666660354e+01  3.453512022481714894e+01  3.460375276004334211e+01  3.466081288605756328e+01  3.470536255925010494e+01  3.473988844046468927e+01  3.473988876837901785e+01 
