     Count               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
        78  0.000000000000000000e+00 -3.138204355531030387e+01  7.160685752222661904e-02  2.561016395479782659e-01  1.325919410472238269e-01  1.115790954780777611e-01  9.187581405450373495e-02  9.187531804656146051e-02 
        79  0.000000000000000000e+00 -3.131133920027889417e+01  8.471666688103596243e-02  3.042143625722246725e-01  2.032449650662329077e-01  1.893322385395777019e-01  1.862051709645129449e-01  1.862048235139468488e-01 
        80  0.000000000000000000e+00 -3.123925533031234636e+01  9.778978840591889821e-02  3.457112879617625367e-01  2.684200611212759213e-01  2.610972955961301523e-01  2.744250090367472694e-01  2.744248206494717124e-01 
        81  0.000000000000000000e+00 -3.117133180657413050e+01  1.065754359325410405e-01  3.758155050222740101e-01  3.224268894288684351e-01  3.206811143948016252e-01  3.496829973528292612e-01  3.496829721458425411e-01 
        82  0.000000000000000000e+00 -3.111155093309974973e+01  1.083636709101938322e-01  3.915366138398326257e-01  3.616386451137714175e-01  3.640137783954173756e-01  4.072818136734213113e-01  4.072819492548092057e-01 
        83  0.000000000000000000e+00 -3.106500339508045272e+01  9.930757347956387093e-02  3.889350854107078703e-01  3.817442853599573027e-01  3.864873993658761719e-01  4.420403870347513475e-01  4.420406745884974953e-01 
        84  0.000000000000000000e+00 -3.104016425025247372e+01  7.212485074398955476e-02  3.607822332315322456e-01  3.753335605305210265e-01  3.806101083599173762e-01  4.459894828767687613e-01  4.459899076745159618e-01 
        85  0.000000000000000000e+00 -3.104676178743943638e+01  1.818534588755937875e-02  2.986194062875142663e-01  3.338729496513224149e-01  3.379829267037735008e-01  4.103842566478306253e-01  4.103847989547944053e-01 
        86  0.000000000000000000e+00 -3.109116952325888406e+01 -6.792726148040628686e-02  1.972909037230010654e-01  2.521640102869469047e-01  2.536988299244171685e-01  3.301042084225969120e-01  3.301048444640173329e-01 
        87  0.000000000000000000e+00 -3.117286927001669028e+01 -1.848996119379080483e-01  5.842753081054752329e-02  1.317620189911394846e-01  1.296905262281029536e-01  2.069768114656653779e-01  2.069775142447838334e-01 
        88  0.000000000000000000e+00 -3.128324353633138344e+01 -3.234728287941948111e-01 -1.083542107652988307e-01 -1.786468920857942067e-02 -2.416311967516548975e-02  5.087019372797385586e-02  5.087093383554019965e-02 
        89  0.000000000000000000e+00 -3.140669984814718418e+01 -4.675425495441345447e-01 -2.865214655295176271e-01 -1.804090609795707678e-01 -1.911450653517476894e-01 -1.214078238562024126e-01 -1.214070772610966742e-01 
        90  0.000000000000000000e+00 -3.152393120854878816e+01 -5.973831996171270475e-01 -4.557600165704229767e-01 -3.358484305549609417e-01 -3.508351624328724938e-01 -2.892347876899634684e-01 -2.892340657388103864e-01 
        91  0.000000000000000000e+00 -3.161689669194174712e+01 -6.945846394408476954e-01 -5.967983341489571103e-01 -4.652605608029034556e-01 -4.839206112940246385e-01 -4.329758767387943408e-01 -4.329752095877665852e-01 
